row,status,division,team_name,created_users(user:pass),members_added,warnings,errors
2,OK,Escalado,Space X Terrazas,almarys_bellorin:ZcH7a9SDAu;daniel_morales:ALAY5BbB9E;emiliana_farreras:PMfffGRhYz,3,,
3,ERROR,Masters,Masters union,,0,,División 'Masters' no existe en el evento 'force-games'.
4,ERROR,Masters,Thundercats La Evolución,,0,,División 'Masters' no existe en el evento 'force-games'.
5,OK,Avanzado,DCG BY AVILA,carlos_gonzalez:GysZ7SpJ7G;fernando_valdez:Ex5ERCBXd8,2,,
6,OK,Novatos,Athena Team,oscar_morales:7jVGFTXrce;albanis_bonaldy:qU5CPwp5tm;yara_careno:YuU8L75Aza,3,,
7,OK,Funcional,Space warriors,karen_perez:MrDwQfP4yS;yelitza_perez:bCkFRtbACZ;luis_diaz:ayDNn5hR5h,3,,
8,OK,Escalado,The Coach,,3,,
9,OK,Avanzado,DCG KONG,ignacio_gomez:fdN948PQsa;juan_parababit:xPcBapjTcG,2,,
10,OK,Novatos,Tenesity titan,jose_angel_zerpa:2zkJYfa6Xf;laura_ordonez:KzQMqbDXZp;andres_nunez:kQ8zZwYzz2,3,,
11,OK,Novatos,Dark Team,mariangel_requena:X9pfsv2RMj;david_cedeno:wDD9xYUALB;shamir_espinoza:MALjYdqzjx,3,,
12,OK,Novatos,BUNKER TEAM,diana_ruiz_weki:VJZ9UdmJLd;abraham_quijada:ahsLELeMxj;juan_ballesteros:CBp8FHme3E,3,,
13,OK,Novatos,Goldtex,lucianni_romero:ekuYQKTg2J;fernando_munoz:X66cNgutuE;rianmar_hernandez:W4Hm6aKTyu,3,,
14,OK,Avanzado,SOUL,david_jesus:6euGpRuSTf;maria_labarca:fxR6fUPVjX,2,,
15,OK,Novatos,IRON FORCE,reinner_berra:Q9N9FWG4gJ;victoria_pena:6CvLecd6mA;anthony_barrios:Y2dn67rfzn,3,,
16,OK,Novatos,KDF,hind_assaf:G6YFkaAwQg,3,,
17,OK,Novatos,FES Legacy,angel_diaz:HvGgrpVQYK;luisianny_jimenez:kJWWsR9FCf;mariangel_blanco:RHF8rMabcL,3,,
18,OK,Novatos,FES Evolution,jhostin_marin:S25DBURLYE;vanesa_espejo:PjPaSzpeQP;maria_fernanda_orozco:JyGs5tEBCk,3,,
19,OK,Novatos,MONSTER FENIX,jhankarli_paez:umKdtA3zvJ;carlos_rodriguez:kzvGdZ4HKc;luis_lopez:UVnNX2W2km,3,,
20,OK,Funcional,Fitness Es Salud,christian_metri:DmBDsXpK4P;diana_parejo:MPG6NLhAzS;gabriela_ordaz:EACHmT2sY6,3,,
21,OK,Novatos,FES Alpha,leandro_figuera:DrADDrKHVd;michell_vasquez:Suja2nJ4Tj;caroline_blanco:bXLNQv3VC8,3,,
22,OK,Escalado,marcano,,3,,
23,OK,Novatos,Rx pa' qué?,,3,,
24,ERROR,Masters,MASTER-MIND,,0,,División 'Masters' no existe en el evento 'force-games'.
25,OK,Funcional,Team Thunderbolts,niurka_reina:b5RtQnrevE;neill_villanueva:QYd5GdNV4C;miguel_guevara:6wUAK2RNE7,3,,
26,OK,Avanzado,Pegasus Force,sergio_cedeno:ENMrDEFPr4;linirse_alcala:3gmAUgNfEG,2,,
27,ERROR,Masters,Pegasus Black,,0,,División 'Masters' no existe en el evento 'force-games'.
28,OK,Novatos,Team ABCD,leandro_guzman:mtZWvC36Ze;mariangelis_ortega:m5KmL9Q4Ay;valeria_fung:srM7wZadMj,3,,
29,OK,Novatos,Cuatro+ 1,ana_vazquez:DdnkHVSNqU;alejandro_gonzales:AcF7ZNR97C;carlos_brizuela:d24XccfdU5,3,,
30,OK,Novatos,TEAM NARANJO,richard_loyo:EzsmsVUm3n;maria_gonzalez:MAFJNjXa4W;edith_tarazona:vpVYXztvV4,3,,
31,OK,Novatos,WODZILLA,adriel_gonzalez:HcmQFBEEeA;laura_alba:LEnrmsuEND;hector_rojas:Q29gDT9TMT,3,,
32,OK,Novatos,Olimpo Philia,daniela_perez:pPXeFS4xPy;ana_perez:EHrdx9Hgvt;marcello_contreraz:C4DxRGNFCM,3,,
33,OK,Escalado,Power Team,helena_guaregua:9NZfD8BEYv;valeria_aguilera:89hb2HAKe3;andres_solis:pHryLrwkAr,3,,
34,OK,Escalado,SPECIFIC BY DCG,daniela_camacho:bSswAzbve5;josmar_ramirez:e3FjjZt65z;kariannys_marin:yCBFvLaURQ,3,,
